name,g_refflux,V_refflux
WTP14abnpgk,2.662,4.971
WTP14acnjbu,1.586,2.428
WTP14adbjsh,17.876,28.431
WTP14adbwvs,1.058,1.612
WTP14adeqka,3.354,5.189
WTP15abymdq,2.1390000000000002,3.106
WTP15acbgpn,3.744,5.099
WTP15acbuuv,0.99,1.5390000000000001
WTP16aaqrcr,8.370999999999999,13.389
WTP16aatsnw,2.0050000000000003,3.228
WTP17aaldjb,1.0410000000000001,1.796
WTP17aalzpx,1.444,2.494
WTP17aamoxe,1.685,2.652
WTP17aamzew,3.8529999999999998,5.928999999999999
WTP17aanbso,0.253,0.395
WTP18aajkmk,1.944,3.0509999999999997
WTP18aamced,3.409,4.907
WTP18aampwj,2.106,2.941
